feature,selection_count
missing_carbon_length,5
missing_hydrophobic_density,5
missing_dp_per_carbon,5
missing_chain_dp_interaction,5
R_C10,3
LogP,3
pka,2
R_C6,2
pka_sq,2
hydrophobic_activation,2
endosomal_hydro_balance,2
chain_dp_interaction,2
polymerization_degree_X,1
X_dp,1
hydrophobic_activation_sq,1
Mn,1
R_B,1
hydrophobic_density,1
R_C1,1
R_C3,1
R_C12,1
R_C8,1
