model,fold,mae,rmse,r2,best_params,spearman,best_params_full_data
RandomForest,OOF_SUMMARY,1.3786682182741183,1.6732958883615712,0.20146336256706265,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 2}",0.4509210907032904,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 2}"
ExtraTrees,OOF_SUMMARY,1.4534083160740114,1.8149401451603622,0.060549346367710255,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': None}",0.22845619431163394,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': None}"
XGBoost,OOF_SUMMARY,1.4317091875076295,1.8192490283871534,0.05608331659721855,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__subsample': 0.8, 'model__reg_lambda': 5, 'model__reg_alpha': 0.1, 'model__n_estimators': 100, 'model__max_depth': 1, 'model__learning_rate': 0.08, 'model__colsample_bytree': 0.8}",0.4495783213901495,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__subsample': 0.8, 'model__reg_lambda': 5, 'model__reg_alpha': 0.1, 'model__n_estimators': 100, 'model__max_depth': 1, 'model__learning_rate': 0.08, 'model__colsample_bytree': 0.8}"
GradientBoosting,OOF_SUMMARY,1.4700790983192238,1.8265462867761713,0.04849577009315842,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__subsample': 0.8, 'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}",0.39882648364135953,"{'selector__n_features_to_select': 10, 'selector': RFE(estimator=Ridge(), step=0.25), 'model__subsample': 0.8, 'model__n_estimators': 100, 'model__max_depth': 2, 'model__learning_rate': 0.03}"
Ridge,OOF_SUMMARY,1.6112000792131118,1.9137187371233613,-0.044493103884720275,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}",0.14552785923753664,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__alpha': 10.0}"
LightGBM,OOF_SUMMARY,1.6196069921358014,1.9275849702957006,-0.05968410876426988,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__reg_lambda': 1, 'model__reg_alpha': 0.1, 'model__num_leaves': 3, 'model__n_estimators': 30, 'model__min_child_samples': 2, 'model__max_depth': 1, 'model__learning_rate': 0.08}",0.2088927508663895,"{'selector': SelectFromModel(estimator=ElasticNet(alpha=0.05, l1_ratio=0.8, max_iter=20000,
                                     random_state=42)), 'model__reg_lambda': 1, 'model__reg_alpha': 0.1, 'model__num_leaves': 3, 'model__n_estimators': 30, 'model__min_child_samples': 2, 'model__max_depth': 1, 'model__learning_rate': 0.08}"
ElasticNet,OOF_SUMMARY,1.6245131964906754,1.946849865980238,-0.08097159506772811,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 0.01}",0.11111133784603858,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__l1_ratio': 0.3, 'model__alpha': 0.01}"
SVR,OOF_SUMMARY,1.581001714992106,2.008376127563327,-0.15037506587589244,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__gamma': 'scale', 'model__epsilon': 0.3, 'model__C': 1.0}",0.3900293255131964,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__gamma': 'scale', 'model__epsilon': 0.3, 'model__C': 1.0}"
MLPExperimental,OOF_SUMMARY,1.6066990487064245,2.0865780996268044,-0.24170562482284597,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__learning_rate_init': 0.001, 'model__alpha': 0.01}",0.29288856304985333,"{'selector__k': 10, 'selector': SelectKBest(score_func=<function mutual_info_regression at 0x000002A2910A3240>), 'model__learning_rate_init': 0.001, 'model__alpha': 0.01}"
